代码,名称,每股收益增长率_2017,每股收益增长率_2016,每股收益增长率_2015
8,神州高铁,61.9792,146.1538,160.0
429,粤高速A,38.4615,40.5405,48.0
488,晨鸣纸业,71.7172,98.0,92.3077
507,珠海港,34.9242,32.5301,358.9862
568,泸州老窖,30.7636,30.9025,66.7302
756,新华制药,66.6667,50.0,63.6364
821,京山轻机,77.7778,50.0,300.0
901,航天科技,65.8955,56.6875,33.3333
980,众泰汽车,346.3125,45.4545,37.5
2016,世荣兆业,875.2809,41.6157,258.3333
2043,兔宝宝,37.5,60.0,122.2222
2078,太阳纸业,90.4762,55.5556,35.0
2094,青岛金王,100.0,89.2857,86.6667
2115,三维通信,69.6429,45.4545,36.2832
2416,爱施德,97.2058,31.9858,386.2069
2460,赣锋锂业,222.1933,81.0294,41.6667
2600,领益智造,172.7273,266.6667,500.0
2925,盈趣科技,121.3675,172.093,38.7097
300087,荃银高科,50.0,43.0615,111.8182
300120,经纬辉开,232.8982,134.9693,35.8333
300136,信维通信,63.5921,41.8967,69.131
300176,鸿特科技,880.1541,30.9504,139.7177
300241,瑞丰光电,132.9797,49.5043,36.4292
300601,康泰生物,130.4348,35.2941,88.8889
300603,立昂技术,73.913,35.2941,61.9048
300724,捷佳伟创,116.3265,188.2353,54.5455
300747,锐科激光,210.7527,257.6923,85.7143
600260,凯乐科技,295.1701,40.0102,116.8889
600330,天通股份,42.1053,43.0108,342.8571
600338,西藏珠峰,71.2593,306.2831,353.8889
600567,山鹰纸业,388.8889,50.0,100.0
600667,太极实业,42.8571,600.0,100.0
600708,光明地产,48.1153,65.344,43.9168
600737,中粮糖业,43.7052,576.5499,134.8101
600798,宁波海运,68.4947,419.3939,94.1176
600903,贵州燃气,33.3333,114.2857,40.0
601238,广汽集团,68.3673,48.4848,32.0
603165,荣晟环保,148.8372,59.2593,42.1053
603260,合盛硅业,127.5229,159.5238,50.0
